Formulation,Helper_lipid_ID,Comment,Lipid/Cells,mRNA/Cells,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,quantified_delivery,unnormalized_delivery,Cationic_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,mRNA/cells,toxicity_class,delivery_class,unnormalized_toxicity,smiles,quantified_toxicity,cv_1_pred_quantified_toxicity
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,1-a2-8b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,0.99583,CCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCC)c1,0.99583,0.8073181342954131
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,1-a2-9b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,1.0,CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,1.0,0.7461727121820667
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,1-a3-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,1.0,CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(CC)CCCC)c1,1.0,0.7554738549408408
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,2-a2-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,1.0,CCCCC(CC)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(CC)CCCC)c1,1.0,0.8694248510179865
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,2-a3-6b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,0.97837,CCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)C(C)CCCC)c1,0.97837,0.7593006009442196
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,2-a3-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,0.95473,CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCCN(C)CCCN)c(OC(=O)C(CC)CCCC)c1,0.95473,0.7388031228525778
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,3-a2-6b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,1.0,CCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(C)CCCC)c1,1.0,0.8764337118633027
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,3-a2-7b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,0.9782,CCCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(C)CCCCC)c1,0.9782,0.8244071602217624
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,3-a2-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,1.0,CCCCC(CC)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(CC)CCCC)c1,1.0,0.8612602909911381
Lxue,DOPE,Tox,3.044522437723423,1.0986122886681098,3-a3-8b,Xue_CAD_LNP,mRNA,HeLa,1.0,,,,,,0.0,,0.93083,CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCN2CCN(CCN)CC2)c(OC(=O)CCC(C)CCCC)c1,0.93083,0.633681586440427
